CustomerID,TxnDate,Category,BillingAmount,TxnLoc,MercCountry,Gateway,Channel,MCC,Description,AcquirerBin
CUST0224,2025-03-04,Retail,412.8,Jessicaberg,FM,MasterCard,Mobile,7224,Expanded system-worthy attitude,942827
CUST0027,2024-11-17,Food,269.36,North Dwayne,RW,VISA,Online,5012,Switchable 6thgeneration encoding,291506
CUST0128,2024-12-12,Retail,979.66,East Carrie,ES,MasterCard,POS,7201,Automated content-based circuit,391199
CUST0106,2025-06-09,Entertainment,799.27,East Stephaniefort,NI,MasterCard,POS,5506,Innovative didactic challenge,368260
CUST0165,2025-01-12,Retail,308.76,Webstershire,DK,AMEX,POS,9785,Robust neutral data-warehouse,417629
CUST0215,2024-12-17,Travel,849.09,Maldonadoshire,CV,MasterCard,POS,7912,Reverse-engineered heuristic focus group,757767
CUST0071,2024-08-10,Food,761.34,Michellemouth,SD,AMEX,POS,5552,De-engineered upward-trending process improvement,786954
CUST0204,2024-09-29,Food,304.11,South Carlos,CN,VISA,Online,7224,Optimized asynchronous neural-net,690709
CUST0153,2024-09-20,Travel,432.29,Welchview,RU,MasterCard,Mobile,1711,Function-based empowering implementation,853091
CUST0067,2024-07-19,Entertainment,194.09,West Williamport,LC,AMEX,Online,4150,Streamlined cohesive initiative,614126
CUST0090,2024-11-03,Travel,119.94,Hayeston,PK,MasterCard,POS,9928,Persevering attitude-oriented extranet,397555
CUST0260,2024-07-03,Travel,725.53,Marieland,CO,AMEX,POS,3045,Synergistic interactive solution,486259
CUST0362,2025-02-08,Food,274.84,New Brookefurt,MA,AMEX,Mobile,6925,Digitized national database,307733
CUST0228,2025-01-26,Retail,821.86,Carpenterton,SG,MasterCard,Online,6881,Compatible responsive superstructure,318102
CUST0079,2024-09-22,Entertainment,995.65,Stoutshire,SM,VISA,Mobile,7201,Future-proofed scalable standardization,199772
CUST0096,2025-02-08,Food,85.85,West Cassidy,CL,AMEX,POS,5506,Stand-alone content-based structure,286516
CUST0349,2024-09-18,Travel,478.3,North Shannon,MD,VISA,POS,5557,Multi-layered non-volatile protocol,452265
CUST0330,2024-06-27,Travel,804.04,Toniland,GH,MasterCard,Mobile,1434,Stand-alone multimedia portal,842941
CUST0469,2024-07-22,Food,791.06,North John,PH,MasterCard,POS,2679,Diverse intangible collaboration,319055
CUST0382,2025-03-26,Entertainment,762.4,Ritterhaven,PY,VISA,Online,7924,Intuitive zero tolerance Internet solution,998102
CUST0246,2025-02-25,Entertainment,355.5,West Nathan,AU,MasterCard,POS,7201,Multi-tiered 4thgeneration portal,598535
CUST0272,2024-07-17,Food,459.31,Paulmouth,AE,AMEX,POS,4257,Fully-configurable asynchronous flexibility,781598
CUST0495,2024-09-21,Food,599.02,Port Crystalmouth,DJ,VISA,Online,6925,Decentralized national budgetary management,204627
CUST0403,2024-07-21,Retail,974.2,West Codyfurt,TJ,MasterCard,POS,6925,Synergized neutral installation,797063
CUST0157,2025-06-11,Retail,334.27,Johnathanberg,MN,MasterCard,Mobile,3286,Cloned full-range productivity,266268
CUST0116,2024-07-07,Retail,923.91,Christopherberg,CL,VISA,Mobile,6514,Cross-group high-level groupware,832581
CUST0435,2025-05-24,Travel,276.66,Kylefurt,UY,AMEX,POS,3547,Vision-oriented encompassing circuit,899170
CUST0018,2024-10-31,Food,989.18,New Jeanne,NE,VISA,Online,2424,Face-to-face even-keeled access,738471
CUST0442,2024-07-22,Entertainment,673.56,West Angelicamouth,CG,MasterCard,Online,2584,Cross-platform homogeneous definition,902204
CUST0172,2025-01-10,Retail,468.88,Lake Jacqueline,CL,MasterCard,Mobile,1434,Multi-tiered bi-directional toolset,427414
CUST0016,2024-09-25,Entertainment,617.26,Lake Ellenhaven,MN,VISA,POS,1488,Decentralized context-sensitive moderator,941411
CUST0449,2024-10-11,Travel,279.81,Andrewport,TO,AMEX,Online,6881,Upgradable fault-tolerant parallelism,872528
